Algorithm,TotalCloudlets,Violations,ViolationPct,Tier1,Tier2,Tier3,AvgTardiness,MaxTardiness,PowerConsumption,TotalTimeTaken
ACO_Multiple_Runs_128times_1,263,7,2.66,5,1,1,1.01,3.77,700.00,711.06
ACO_Multiple_Runs_128times_1,263,5,1.90,2,2,1,4.75,17.31,681.65,711.06
ACO_Multiple_Runs_128times_1,263,7,2.66,5,1,1,0.94,3.77,653.61,711.06
ACO_Multiple_Runs_128times_1,263,1,0.38,1,0,0,0.70,0.70,632.34,711.06
ACO_Multiple_Runs_128times_1,263,8,3.04,6,1,1,1.01,3.77,625.54,711.06
ACO_Multiple_Runs_128times_1,263,11,4.18,7,3,1,6.56,43.99,609.18,711.06
ACO_Multiple_Runs_128times_1,263,2,0.76,1,1,0,8.56,16.77,582.42,711.06
ACO_Multiple_Runs_128times_1,263,7,2.66,5,1,1,1.23,3.78,574.64,711.06
ACO_Multiple_Runs_128times_1,263,3,1.14,3,0,0,0.36,0.89,565.69,711.06
ACO_Multiple_Runs_128times_1,263,2,0.76,2,0,0,0.35,0.64,547.62,711.06
ACO_Multiple_Runs_128times_1,263,5,1.90,5,0,0,0.57,1.22,525.45,711.06
ACO_Multiple_Runs_128times_1,263,6,2.28,6,0,0,0.50,1.00,497.78,711.06
ACO_Multiple_Runs_128times_1,263,8,3.04,6,2,0,11.15,48.04,483.95,711.06
ACO_Multiple_Runs_128times_1,263,21,7.98,12,9,0,16.92,57.40,467.73,711.06
ACO_Multiple_Runs_128times_1,263,8,3.04,7,1,0,4.70,31.61,448.47,711.06
ACO_Multiple_Runs_128times_1,263,12,4.56,10,2,0,0.46,1.38,436.90,711.06
ACO_Multiple_Runs_128times_1,263,7,2.66,7,0,0,1.08,4.39,408.53,711.06
ACO_Multiple_Runs_128times_1,263,10,3.80,8,2,0,1.62,5.20,397.77,711.06
ACO_Multiple_Runs_128times_1,263,34,12.93,28,5,1,12.04,117.99,378.02,711.06
ACO_Multiple_Runs_128times_1,263,9,3.42,6,3,0,3.62,27.91,359.83,711.06
ACO_Multiple_Runs_128times_1,263,10,3.80,7,3,0,9.33,52.26,342.32,711.06
ACO_Multiple_Runs_128times_1,263,6,2.28,4,2,0,0.60,1.38,326.17,711.06
ACO_Multiple_Runs_128times_1,263,8,3.04,6,2,0,1.10,3.06,315.26,711.06
ACO_Multiple_Runs_128times_1,263,18,6.84,16,2,0,6.65,47.49,305.89,711.06
ACO_Multiple_Runs_128times_1,263,8,3.04,3,3,2,3.11,6.22,275.96,711.06
ACO_Multiple_Runs_128times_1,263,16,6.08,16,0,0,0.74,3.65,266.24,711.06
ACO_Multiple_Runs_128times_1,263,12,4.56,7,3,2,2.55,6.19,266.98,711.06
ACO_Multiple_Runs_128times_1,263,20,7.60,15,3,2,1.60,6.11,250.60,711.06
ACO_Multiple_Runs_128times_1,263,15,5.70,14,1,0,2.18,8.94,238.25,711.06
ACO_Multiple_Runs_128times_1,263,16,6.08,16,0,0,0.97,3.57,230.51,711.06
ACO_Multiple_Runs_128times_1,263,132,50.19,58,53,21,51.82,600.86,224.90,711.06
ACO_Multiple_Runs_128times_1,263,114,43.35,44,25,45,166.21,722.36,215.12,711.06
ACO_Multiple_Runs_128times_1,263,138,52.47,28,45,65,134.22,404.46,210.13,711.06
ACO_Multiple_Runs_128times_1,263,153,58.17,20,53,80,133.95,419.26,206.20,711.06
ACO_Multiple_Runs_128times_1,263,139,52.85,39,29,71,176.02,510.39,195.55,711.06
ACO_Multiple_Runs_128times_1,263,153,58.17,32,56,65,197.66,808.43,188.82,711.06
ACO_Multiple_Runs_128times_2,251,0,0.00,0,0,0,0.00,0.00,700.00,649.79
ACO_Multiple_Runs_128times_2,251,2,0.80,2,0,0,0.47,0.95,689.68,649.79
ACO_Multiple_Runs_128times_2,251,1,0.40,1,0,0,0.24,0.24,671.03,649.79
ACO_Multiple_Runs_128times_2,251,2,0.80,2,0,0,0.81,1.32,654.85,649.79
ACO_Multiple_Runs_128times_2,251,2,0.80,0,2,0,0.96,1.12,628.07,649.79
ACO_Multiple_Runs_128times_2,251,7,2.79,7,0,0,0.25,0.88,605.49,649.79
ACO_Multiple_Runs_128times_2,251,3,1.20,3,0,0,0.42,0.76,588.04,649.79
ACO_Multiple_Runs_128times_2,251,2,0.80,1,1,0,21.27,42.50,563.56,649.79
ACO_Multiple_Runs_128times_2,251,2,0.80,2,0,0,0.46,0.82,537.18,649.79
ACO_Multiple_Runs_128times_2,251,4,1.59,3,0,1,5.49,20.98,518.72,649.79
ACO_Multiple_Runs_128times_2,251,4,1.59,3,1,0,0.52,1.14,511.84,649.79
ACO_Multiple_Runs_128times_2,251,1,0.40,1,0,0,0.13,0.13,493.85,649.79
ACO_Multiple_Runs_128times_2,251,4,1.59,4,0,0,0.36,0.56,477.18,649.79
