Algorithm,TotalCloudlets,Violations,ViolationPct,Tier1,Tier2,Tier3,AvgTardiness,MaxTardiness,PowerConsumption,TotalTimeTaken
FCFS_Multiple_Runs_128times_1,243,7,2.88,7,0,0,4.06,10.86,700.00,0.63
FCFS_Multiple_Runs_128times_1,243,14,5.76,14,0,0,6.63,20.20,688.24,0.63
FCFS_Multiple_Runs_128times_1,243,7,2.88,7,0,0,3.61,9.57,672.19,0.63
FCFS_Multiple_Runs_128times_1,243,11,4.53,11,0,0,4.57,12.66,644.54,0.63
FCFS_Multiple_Runs_128times_1,243,18,7.41,17,1,0,7.21,20.20,625.72,0.63
FCFS_Multiple_Runs_128times_1,243,16,6.58,16,0,0,5.74,16.86,614.61,0.63
FCFS_Multiple_Runs_128times_1,243,16,6.58,15,1,0,6.32,16.86,592.78,0.63
FCFS_Multiple_Runs_128times_1,243,19,7.82,17,2,0,6.90,18.21,573.51,0.63
FCFS_Multiple_Runs_128times_1,243,21,8.64,20,1,0,5.41,14.44,554.01,0.63
FCFS_Multiple_Runs_128times_1,243,37,15.23,32,5,0,7.34,22.78,538.71,0.63
FCFS_Multiple_Runs_128times_1,243,35,14.40,30,5,0,5.38,16.86,529.92,0.63
FCFS_Multiple_Runs_128times_1,243,41,16.87,35,6,0,7.59,27.76,515.32,0.63
FCFS_Multiple_Runs_128times_1,243,45,18.52,40,5,0,6.34,23.70,490.50,0.63
FCFS_Multiple_Runs_128times_1,243,56,23.05,46,10,0,8.06,29.86,465.84,0.63
FCFS_Multiple_Runs_128times_1,243,67,27.57,53,14,0,9.96,32.86,462.35,0.63
FCFS_Multiple_Runs_128times_1,243,73,30.04,58,15,0,9.86,34.75,448.21,0.63
FCFS_Multiple_Runs_128times_1,243,94,38.68,65,29,0,11.68,40.07,434.89,0.63
FCFS_Multiple_Runs_128times_1,243,109,44.86,77,32,0,13.61,42.58,419.14,0.63
FCFS_Multiple_Runs_128times_1,243,123,50.62,73,50,0,16.18,51.05,407.31,0.63
FCFS_Multiple_Runs_128times_1,243,147,60.49,88,59,0,19.15,61.94,383.19,0.63
FCFS_Multiple_Runs_128times_2,243,4,1.65,4,0,0,0.71,1.18,700.00,0.89
FCFS_Multiple_Runs_128times_2,243,7,2.88,7,0,0,1.45,2.56,683.53,0.89
FCFS_Multiple_Runs_128times_2,243,5,2.06,5,0,0,2.17,3.21,673.01,0.89
FCFS_Multiple_Runs_128times_2,243,7,2.88,7,0,0,1.39,2.33,660.00,0.89
FCFS_Multiple_Runs_128times_2,243,7,2.88,7,0,0,1.86,2.59,632.46,0.89
FCFS_Multiple_Runs_128times_2,243,7,2.88,7,0,0,1.85,2.79,609.52,0.89
FCFS_Multiple_Runs_128times_2,243,7,2.88,7,0,0,2.20,3.37,591.44,0.89
FCFS_Multiple_Runs_128times_2,243,9,3.70,9,0,0,3.09,6.38,570.30,0.89
FCFS_Multiple_Runs_128times_2,243,9,3.70,9,0,0,3.42,7.75,544.63,0.89
FCFS_Multiple_Runs_128times_2,243,11,4.53,11,0,0,3.07,7.43,521.74,0.89
FCFS_Multiple_Runs_128times_2,243,15,6.17,13,2,0,3.47,8.92,517.83,0.89
FCFS_Multiple_Runs_128times_2,243,17,7.00,14,3,0,3.68,10.23,502.15,0.89
FCFS_Multiple_Runs_128times_2,243,18,7.41,14,4,0,4.59,12.71,495.03,0.89
FCFS_Multiple_Runs_128times_2,243,19,7.82,16,3,0,5.10,11.23,482.37,0.89
FCFS_Multiple_Runs_128times_2,243,30,12.35,26,4,0,4.69,12.20,471.13,0.89
