Algorithm,TotalCloudlets,Violations,ViolationPct,Tier1,Tier2,Tier3,AvgTardiness,MaxTardiness,PowerConsumption,TotalTimeTaken
GA_Multiple_Runs_128times_1,264,7,2.65,4,3,0,9.82,27.93,700.00,2.06
GA_Multiple_Runs_128times_1,264,6,2.27,2,4,0,16.43,30.28,688.39,2.06
GA_Multiple_Runs_128times_1,264,8,3.03,6,1,1,12.99,71.61,682.85,2.06
GA_Multiple_Runs_128times_1,264,2,0.76,1,1,0,4.56,9.01,670.43,2.06
GA_Multiple_Runs_128times_1,264,4,1.52,1,2,1,18.43,38.56,655.99,2.06
GA_Multiple_Runs_128times_1,264,5,1.89,2,3,0,16.68,34.62,643.27,2.06
GA_Multiple_Runs_128times_1,264,5,1.89,2,1,2,22.26,43.84,633.34,2.06
GA_Multiple_Runs_128times_1,264,9,3.41,6,3,0,11.71,37.47,626.60,2.06
GA_Multiple_Runs_128times_1,264,5,1.89,4,0,1,6.19,28.51,611.30,2.06
GA_Multiple_Runs_128times_1,264,8,3.03,6,1,1,16.56,77.55,593.12,2.06
GA_Multiple_Runs_128times_1,264,7,2.65,3,2,2,20.48,59.29,576.35,2.06
GA_Multiple_Runs_128times_1,264,11,4.17,6,0,5,34.26,79.24,561.02,2.06
GA_Multiple_Runs_128times_1,264,13,4.92,8,3,2,16.52,46.24,547.45,2.06
GA_Multiple_Runs_128times_1,264,19,7.20,7,8,4,26.82,83.51,521.69,2.06
GA_Multiple_Runs_128times_1,264,13,4.92,9,1,3,21.87,72.49,497.38,2.06
GA_Multiple_Runs_128times_1,264,16,6.06,7,5,4,33.86,81.37,481.92,2.06
GA_Multiple_Runs_128times_1,264,11,4.17,5,0,6,44.34,90.83,462.96,2.06
GA_Multiple_Runs_128times_1,264,16,6.06,11,3,2,22.97,91.47,441.81,2.06
GA_Multiple_Runs_128times_1,264,17,6.44,10,2,5,28.26,104.05,424.03,2.06
GA_Multiple_Runs_128times_1,264,20,7.58,13,5,2,27.09,104.45,403.38,2.06
GA_Multiple_Runs_128times_1,264,39,14.77,16,12,11,26.84,64.62,396.74,2.06
GA_Multiple_Runs_128times_1,264,34,12.88,12,16,6,33.24,95.02,372.11,2.06
GA_Multiple_Runs_128times_1,264,34,12.88,15,11,8,34.64,98.75,363.50,2.06
GA_Multiple_Runs_128times_1,264,55,20.83,26,15,14,33.23,105.51,358.09,2.06
GA_Multiple_Runs_128times_1,264,36,13.64,15,13,8,30.04,110.55,346.32,2.06
GA_Multiple_Runs_128times_1,264,68,25.76,28,26,14,35.06,130.24,324.83,2.06
GA_Multiple_Runs_128times_1,264,55,20.83,33,16,6,29.37,148.05,305.70,2.06
GA_Multiple_Runs_128times_1,264,81,30.68,21,38,22,49.95,130.82,292.71,2.06
GA_Multiple_Runs_128times_1,264,83,31.44,34,29,20,41.55,144.09,289.64,2.06
