Algorithm,TotalCloudlets,Violations,ViolationPct,Tier1,Tier2,Tier3,AvgTardiness,MaxTardiness,PowerConsumption,TotalTimeTaken
Round_Robin_Multiple_Runs_128times_1,273,81,29.67,26,40,15,24.38,81.52,700.00,0.59
Round_Robin_Multiple_Runs_128times_1,273,82,30.04,25,42,15,24.59,81.57,682.93,0.59
Round_Robin_Multiple_Runs_128times_1,273,83,30.40,25,43,15,24.90,81.57,654.98,0.59
Round_Robin_Multiple_Runs_128times_1,273,83,30.40,22,45,16,26.16,81.56,634.05,0.59
Round_Robin_Multiple_Runs_128times_1,273,94,34.43,31,48,15,26.73,81.41,609.89,0.59
Round_Robin_Multiple_Runs_128times_1,273,97,35.53,30,52,15,27.04,81.40,597.02,0.59
Round_Robin_Multiple_Runs_128times_1,273,101,37.00,31,54,16,27.05,81.39,574.80,0.59
Round_Robin_Multiple_Runs_128times_1,273,106,38.83,33,54,19,27.18,81.41,556.52,0.59
Round_Robin_Multiple_Runs_128times_1,273,110,40.29,36,54,20,27.08,81.69,551.55,0.59
Round_Robin_Multiple_Runs_128times_1,273,115,42.12,30,61,24,30.41,87.64,525.17,0.59
Round_Robin_Multiple_Runs_128times_1,273,131,47.99,33,70,28,33.49,87.70,511.46,0.59
Round_Robin_Multiple_Runs_128times_1,273,133,48.72,34,71,28,34.07,87.59,502.62,0.59
Round_Robin_Multiple_Runs_128times_1,273,138,50.55,38,70,30,33.56,87.63,491.98,0.59
Round_Robin_Multiple_Runs_128times_1,273,146,53.48,42,72,32,33.44,87.52,476.33,0.59
Round_Robin_Multiple_Runs_128times_1,273,150,54.95,44,72,34,35.44,95.28,471.23,0.59
Round_Robin_Multiple_Runs_128times_1,273,154,56.41,40,79,35,35.89,95.28,460.37,0.59
Round_Robin_Multiple_Runs_128times_1,273,164,60.07,40,73,51,49.66,179.92,440.30,0.59
Round_Robin_Multiple_Runs_128times_2,253,51,20.16,19,32,0,40.88,117.90,700.00,1.34
Round_Robin_Multiple_Runs_128times_2,253,52,20.55,20,32,0,40.06,117.80,684.05,1.34
Round_Robin_Multiple_Runs_128times_2,253,52,20.55,20,32,0,40.06,117.80,659.14,1.34
Round_Robin_Multiple_Runs_128times_2,253,53,20.95,21,32,0,39.39,117.80,641.71,1.34
Round_Robin_Multiple_Runs_128times_2,253,52,20.55,20,32,0,40.20,117.80,617.49,1.34
Round_Robin_Multiple_Runs_128times_2,253,55,21.74,23,32,0,38.09,117.80,592.80,1.34
Round_Robin_Multiple_Runs_128times_2,253,56,22.13,23,33,0,35.78,118.02,582.44,1.34
Round_Robin_Multiple_Runs_128times_2,253,60,23.72,25,35,0,35.53,118.01,565.35,1.34
Round_Robin_Multiple_Runs_128times_2,253,60,23.72,25,35,0,35.95,117.95,537.47,1.34
Round_Robin_Multiple_Runs_128times_2,253,67,26.48,30,37,0,33.19,117.79,530.11,1.34
Round_Robin_Multiple_Runs_128times_2,253,67,26.48,28,39,0,33.86,117.88,518.96,1.34
Round_Robin_Multiple_Runs_128times_2,253,70,27.67,32,38,0,30.20,117.99,497.93,1.34
Round_Robin_Multiple_Runs_128times_2,253,75,29.64,29,46,0,31.83,117.76,473.09,1.34
Round_Robin_Multiple_Runs_128times_2,253,74,29.25,27,47,0,31.63,118.03,464.74,1.34
Round_Robin_Multiple_Runs_128times_2,253,76,30.04,24,52,0,36.35,117.81,445.88,1.34
Round_Robin_Multiple_Runs_128times_2,253,79,31.23,23,56,0,33.78,118.01,431.47,1.34
Round_Robin_Multiple_Runs_128times_2,253,81,32.02,24,57,0,36.15,117.93,416.62,1.34
Round_Robin_Multiple_Runs_128times_2,253,84,33.20,26,58,0,32.87,118.19,404.83,1.34
Round_Robin_Multiple_Runs_128times_2,253,92,36.36,28,64,0,38.31,117.61,388.82,1.34
Round_Robin_Multiple_Runs_128times_2,253,95,37.55,20,75,0,43.80,117.89,377.23,1.34
Round_Robin_Multiple_Runs_128times_2,253,99,39.13,18,81,0,47.46,117.93,351.30,1.34
Round_Robin_Multiple_Runs_128times_2,253,101,39.92,19,82,0,52.24,145.31,331.96,1.34
Round_Robin_Multiple_Runs_128times_2,253,109,43.08,17,85,7,54.67,145.20,314.02,1.34
Round_Robin_Multiple_Runs_128times_2,253,111,43.87,21,77,13,59.27,147.59,299.34,1.34
Round_Robin_Multiple_Runs_128times_2,253,112,44.27,21,73,18,62.11,148.06,295.88,1.34
Round_Robin_Multiple_Runs_128times_2,253,113,44.66,17,73,23,72.87,176.21,281.26,1.34
Round_Robin_Multiple_Runs_128times_2,253,119,47.04,16,53,50,92.54,281.82,269.96,1.34
Round_Robin_Multiple_Runs_128times_2,253,120,47.43,16,55,49,90.46,281.50,259.90,1.34
Round_Robin_Multiple_Runs_128times_2,253,119,47.04,15,50,54,96.52,281.50,250.46,1.34
Round_Robin_Multiple_Runs_128times_2,253,121,47.83,16,50,55,100.53,281.87,241.18,1.34
Round_Robin_Multiple_Runs_128times_2,253,126,49.80,18,37,71,116.35,349.59,233.95,1.34
Round_Robin_Multiple_Runs_128times_2,253,127,50.20,18,30,79,139.72,410.98,226.83,1.34
Round_Robin_Multiple_Runs_128times_2,253,128,50.59,18,20,90,151.82,410.81,219.27,1.34
Round_Robin_Multiple_Runs_128times_2,253,130,51.38,19,18,93,165.61,536.46,207.61,1.34
Round_Robin_Multiple_Runs_128times_2,253,132,52.17,20,20,92,185.08,779.76,194.21,1.34
Round_Robin_Multiple_Runs_128times_2,253,146,57.71,25,28,93,217.21,1280.38,187.07,1.34
Round_Robin_Multiple_Runs_128times_3,229,38,16.59,18,20,0,25.13,99.08,700.00,1.18
Round_Robin_Multiple_Runs_128times_3,229,39,17.03,18,21,0,24.73,99.05,682.64,1.18
Round_Robin_Multiple_Runs_128times_3,229,39,17.03,18,21,0,24.99,99.19,668.16,1.18
Round_Robin_Multiple_Runs_128times_3,229,40,17.47,19,21,0,24.77,99.05,639.84,1.18
Round_Robin_Multiple_Runs_128times_3,229,42,18.34,21,21,0,23.96,99.05,618.96,1.18
Round_Robin_Multiple_Runs_128times_3,229,42,18.34,20,22,0,24.33,99.05,595.21,1.18
Round_Robin_Multiple_Runs_128times_3,229,43,18.78,21,22,0,24.49,99.08,577.25,1.18
Round_Robin_Multiple_Runs_128times_3,229,47,20.52,23,23,1,24.77,99.07,551.75,1.18
Round_Robin_Multiple_Runs_128times_3,229,49,21.40,21,27,1,26.65,99.05,530.29,1.18
Round_Robin_Multiple_Runs_128times_3,229,53,23.14,22,29,2,27.74,99.40,502.22,1.18
Round_Robin_Multiple_Runs_128times_3,229,55,24.02,24,29,2,28.57,99.40,492.34,1.18
Round_Robin_Multiple_Runs_128times_3,229,58,25.33,25,31,2,27.92,99.20,484.89,1.18
Round_Robin_Multiple_Runs_128times_3,229,59,25.76,26,31,2,29.68,99.36,461.16,1.18
