Algorithm,TotalCloudlets,Violations,ViolationPct,Tier1,Tier2,Tier3,AvgTardiness,MaxTardiness,PowerConsumption,TotalTimeTaken
ACO_Multiple_Runs_128times_1,238,3,1.26,3,0,0,0.41,0.67,700.00,170.72
ACO_Multiple_Runs_128times_1,238,6,2.52,6,0,0,0.44,0.83,688.14,170.72
ACO_Multiple_Runs_128times_1,238,4,1.68,3,1,0,7.03,27.14,674.62,170.72
ACO_Multiple_Runs_128times_1,238,0,0.00,0,0,0,0.00,0.00,648.55,170.72
ACO_Multiple_Runs_128times_1,238,6,2.52,6,0,0,1.69,6.36,635.43,170.72
ACO_Multiple_Runs_128times_1,238,3,1.26,3,0,0,0.42,0.55,599.62,170.72
ACO_Multiple_Runs_128times_1,238,2,0.84,2,0,0,0.45,0.70,586.88,170.72
ACO_Multiple_Runs_128times_1,238,8,3.36,6,0,2,14.18,54.43,569.50,170.72
ACO_Multiple_Runs_128times_1,238,7,2.94,7,0,0,0.37,1.07,551.84,170.72
ACO_Multiple_Runs_128times_1,238,3,1.26,3,0,0,0.76,0.85,530.13,170.72
ACO_Multiple_Runs_128times_1,238,3,1.26,3,0,0,0.94,1.41,519.64,170.72
ACO_Multiple_Runs_128times_1,238,5,2.10,5,0,0,0.33,0.70,479.68,170.72
ACO_Multiple_Runs_128times_1,238,10,4.20,7,3,0,11.78,46.20,473.54,170.72
ACO_Multiple_Runs_128times_1,238,6,2.52,5,1,0,2.95,14.35,458.48,170.72
ACO_Multiple_Runs_128times_1,238,6,2.52,6,0,0,0.83,1.74,430.62,170.72
ACO_Multiple_Runs_128times_1,238,7,2.94,7,0,0,3.12,6.78,408.69,170.72
ACO_Multiple_Runs_128times_1,238,10,4.20,8,2,0,7.94,46.58,394.48,170.72
ACO_Multiple_Runs_128times_1,238,4,1.68,4,0,0,0.36,0.63,373.22,170.72
ACO_Multiple_Runs_128times_1,238,6,2.52,5,1,0,4.56,23.13,365.23,170.72
ACO_Multiple_Runs_128times_1,238,2,0.84,2,0,0,0.17,0.26,357.12,170.72
ACO_Multiple_Runs_128times_1,238,5,2.10,5,0,0,4.30,9.90,337.65,170.72
ACO_Multiple_Runs_128times_1,238,7,2.94,7,0,0,0.41,1.14,318.83,170.72
ACO_Multiple_Runs_128times_1,238,16,6.72,10,2,4,58.77,242.22,311.04,170.72
ACO_Multiple_Runs_128times_1,238,17,7.14,13,2,2,23.15,206.34,301.18,170.72
ACO_Multiple_Runs_128times_1,238,25,10.50,18,2,5,26.72,110.83,285.38,170.72
ACO_Multiple_Runs_128times_1,238,12,5.04,12,0,0,1.20,6.40,277.01,170.72
ACO_Multiple_Runs_128times_1,238,34,14.29,25,8,1,23.11,365.96,272.46,170.72
ACO_Multiple_Runs_128times_1,238,17,7.14,16,1,0,2.55,15.14,252.82,170.72
ACO_Multiple_Runs_128times_1,238,46,19.33,34,9,3,28.25,717.02,242.28,170.72
ACO_Multiple_Runs_128times_1,238,71,29.83,34,28,9,68.59,803.17,233.28,170.72
ACO_Multiple_Runs_128times_1,238,37,15.55,34,0,3,51.12,640.54,226.48,170.72
ACO_Multiple_Runs_128times_1,238,57,23.95,48,3,6,42.88,748.71,222.40,170.72
