Algorithm,TotalCloudlets,Violations,ViolationPct,Tier1,Tier2,Tier3,AvgTardiness,MaxTardiness,PowerConsumption,TotalTimeTaken
GA_Multiple_Runs_128times_1,280,55,19.64,22,26,7,38.57,111.36,700.00,1.94
GA_Multiple_Runs_128times_1,280,39,13.93,8,24,7,44.26,89.90,693.21,1.94
GA_Multiple_Runs_128times_1,280,68,24.29,24,33,11,34.47,92.94,686.26,1.94
GA_Multiple_Runs_128times_1,280,59,21.07,21,31,7,35.49,90.27,670.70,1.94
GA_Multiple_Runs_128times_1,280,45,16.07,11,34,0,33.31,73.40,656.36,1.94
GA_Multiple_Runs_128times_1,280,47,16.79,9,33,5,42.79,84.45,644.72,1.94
GA_Multiple_Runs_128times_1,280,59,21.07,20,28,11,32.88,76.04,637.23,1.94
GA_Multiple_Runs_128times_1,280,46,16.43,12,27,7,46.39,127.78,622.84,1.94
GA_Multiple_Runs_128times_1,280,66,23.57,22,31,13,39.96,112.52,610.18,1.94
GA_Multiple_Runs_128times_1,280,57,20.36,19,32,6,32.77,96.28,595.53,1.94
GA_Multiple_Runs_128times_1,280,63,22.50,17,37,9,38.41,80.31,583.92,1.94
GA_Multiple_Runs_128times_1,280,78,27.86,18,47,13,40.64,91.01,575.89,1.94
GA_Multiple_Runs_128times_1,280,87,31.07,27,52,8,33.22,100.30,570.12,1.94
GA_Multiple_Runs_128times_1,280,91,32.50,36,36,19,36.61,99.05,556.52,1.94
GA_Multiple_Runs_128times_1,280,83,29.64,17,48,18,41.95,81.26,540.03,1.94
GA_Multiple_Runs_128times_1,280,104,37.14,34,54,16,31.82,100.85,535.77,1.94
GA_Multiple_Runs_128times_1,280,131,46.79,35,82,14,34.65,88.16,530.89,1.94
GA_Multiple_Runs_128times_1,280,119,42.50,24,69,26,51.49,144.86,526.51,1.94
GA_Multiple_Runs_128times_1,280,108,38.57,33,49,26,49.15,134.42,496.91,1.94
GA_Multiple_Runs_128times_1,280,124,44.29,34,68,22,49.18,138.42,474.34,1.94
GA_Multiple_Runs_128times_1,280,129,46.07,46,61,22,44.42,128.51,465.87,1.94
GA_Multiple_Runs_128times_1,280,133,47.50,40,68,25,44.83,110.13,446.26,1.94
GA_Multiple_Runs_128times_1,280,133,47.50,26,76,31,58.82,130.15,426.70,1.94
GA_Multiple_Runs_128times_1,280,154,55.00,35,82,37,57.75,122.71,410.02,1.94
GA_Multiple_Runs_128times_1,280,141,50.36,34,71,36,64.78,154.15,383.82,1.94
GA_Multiple_Runs_128times_1,280,151,53.93,37,68,46,75.40,202.84,361.57,1.94
GA_Multiple_Runs_128times_1,280,116,41.43,29,25,62,124.09,285.09,340.18,1.94
GA_Multiple_Runs_128times_1,280,168,60.00,23,47,98,111.75,234.87,337.07,1.94
GA_Multiple_Runs_128times_2,254,3,1.18,2,1,0,6.30,12.37,700.00,2.06
GA_Multiple_Runs_128times_2,254,2,0.79,0,2,0,9.68,19.06,684.06,2.06
GA_Multiple_Runs_128times_2,254,2,0.79,1,0,1,25.05,49.67,659.94,2.06
GA_Multiple_Runs_128times_2,254,4,1.57,3,0,1,11.27,43.96,642.66,2.06
GA_Multiple_Runs_128times_2,254,4,1.57,3,0,1,9.35,34.72,631.13,2.06
GA_Multiple_Runs_128times_2,254,3,1.18,3,0,0,0.07,0.09,610.18,2.06
GA_Multiple_Runs_128times_2,254,4,1.57,3,0,1,19.47,76.45,602.00,2.06
GA_Multiple_Runs_128times_2,254,3,1.18,2,1,0,4.02,11.26,585.78,2.06
GA_Multiple_Runs_128times_2,254,5,1.97,5,0,0,0.88,1.95,571.86,2.06
GA_Multiple_Runs_128times_2,254,2,0.79,1,0,1,27.45,54.51,565.59,2.06
GA_Multiple_Runs_128times_2,254,9,3.54,5,2,2,14.62,34.92,546.01,2.06
GA_Multiple_Runs_128times_2,254,9,3.54,4,1,4,25.88,55.84,523.68,2.06
GA_Multiple_Runs_128times_2,254,10,3.94,6,2,2,18.91,69.78,502.57,2.06
GA_Multiple_Runs_128times_2,254,8,3.15,5,1,2,28.97,103.10,479.29,2.06
GA_Multiple_Runs_128times_2,254,14,5.51,5,5,4,29.95,74.08,460.74,2.06
GA_Multiple_Runs_128times_2,254,12,4.72,8,2,2,18.74,91.50,449.74,2.06
GA_Multiple_Runs_128times_2,254,12,4.72,10,1,1,4.41,26.62,438.15,2.06
GA_Multiple_Runs_128times_2,254,12,4.72,6,3,3,24.89,82.29,428.31,2.06
GA_Multiple_Runs_128times_2,254,17,6.69,10,5,2,14.90,73.56,417.01,2.06
GA_Multiple_Runs_128times_2,254,14,5.51,9,3,2,22.34,100.73,403.18,2.06
GA_Multiple_Runs_128times_2,254,20,7.87,14,4,2,17.05,95.98,396.38,2.06
