Algorithm,TotalCloudlets,Violations,ViolationPct,Tier1,Tier2,Tier3,AvgTardiness,MaxTardiness,PowerConsumption,TotalTimeTaken
Round_Robin_Multiple_Runs_128times_1,258,55,21.32,27,26,2,22.80,59.18,700.00,1.27
Round_Robin_Multiple_Runs_128times_1,258,55,21.32,27,26,2,22.81,59.16,682.27,1.27
Round_Robin_Multiple_Runs_128times_1,258,56,21.71,28,26,2,22.50,59.18,654.08,1.27
Round_Robin_Multiple_Runs_128times_1,258,59,22.87,31,26,2,21.65,59.12,632.92,1.27
Round_Robin_Multiple_Runs_128times_1,258,62,24.03,31,29,2,21.78,59.18,607.57,1.27
Round_Robin_Multiple_Runs_128times_1,258,64,24.81,32,30,2,22.78,63.26,593.42,1.27
Round_Robin_Multiple_Runs_128times_1,258,68,26.36,33,33,2,23.55,73.04,570.61,1.27
Round_Robin_Multiple_Runs_128times_1,258,68,26.36,31,35,2,24.12,72.91,559.86,1.27
Round_Robin_Multiple_Runs_128times_1,258,73,28.29,34,36,3,26.05,85.33,541.64,1.27
Round_Robin_Multiple_Runs_128times_1,258,76,29.46,34,39,3,26.05,85.44,514.09,1.27
Round_Robin_Multiple_Runs_128times_1,258,78,30.23,36,39,3,25.98,85.33,494.98,1.27
Round_Robin_Multiple_Runs_128times_1,258,79,30.62,36,40,3,26.30,85.44,490.29,1.27
Round_Robin_Multiple_Runs_128times_1,258,82,31.78,38,41,3,26.19,85.44,474.32,1.27
Round_Robin_Multiple_Runs_128times_1,258,87,33.72,32,46,9,37.40,124.91,454.78,1.27
Round_Robin_Multiple_Runs_128times_1,258,92,35.66,36,47,9,36.47,125.06,444.36,1.27
Round_Robin_Multiple_Runs_128times_1,258,98,37.98,37,52,9,36.62,125.04,430.03,1.27
Round_Robin_Multiple_Runs_128times_1,258,102,39.53,37,55,10,36.68,125.04,421.20,1.27
Round_Robin_Multiple_Runs_128times_1,258,103,39.92,33,60,10,38.71,125.04,405.29,1.27
Round_Robin_Multiple_Runs_128times_1,258,108,41.86,36,62,10,39.24,125.04,398.39,1.27
Round_Robin_Multiple_Runs_128times_1,258,123,47.67,38,70,15,42.84,125.04,390.51,1.27
Round_Robin_Multiple_Runs_128times_1,258,120,46.51,33,66,21,52.62,159.94,366.50,1.27
Round_Robin_Multiple_Runs_128times_1,258,139,53.88,31,83,25,55.37,159.72,361.09,1.27
Round_Robin_Multiple_Runs_128times_1,258,145,56.20,25,93,27,58.49,159.78,348.26,1.27
Round_Robin_Multiple_Runs_128times_1,258,144,55.81,18,93,33,62.87,159.67,336.32,1.27
Round_Robin_Multiple_Runs_128times_1,258,152,58.91,19,100,33,61.68,159.81,317.21,1.27
Round_Robin_Multiple_Runs_128times_1,258,156,60.47,22,90,44,71.53,219.08,295.73,1.27
Round_Robin_Multiple_Runs_128times_2,234,26,11.11,11,11,4,24.67,60.07,700.00,1.25
Round_Robin_Multiple_Runs_128times_2,234,27,11.54,12,11,4,24.06,60.13,684.96,1.25
Round_Robin_Multiple_Runs_128times_2,234,27,11.54,12,11,4,24.29,60.09,660.47,1.25
Round_Robin_Multiple_Runs_128times_2,234,29,12.39,13,12,4,23.31,60.13,643.17,1.25
Round_Robin_Multiple_Runs_128times_2,234,29,12.39,13,11,5,23.39,60.10,633.50,1.25
Round_Robin_Multiple_Runs_128times_2,234,30,12.82,14,11,5,22.65,59.95,618.18,1.25
Round_Robin_Multiple_Runs_128times_2,234,30,12.82,14,11,5,23.38,60.00,601.18,1.25
Round_Robin_Multiple_Runs_128times_2,234,31,13.25,14,12,5,23.47,60.09,573.79,1.25
Round_Robin_Multiple_Runs_128times_2,234,31,13.25,13,13,5,26.34,60.10,551.07,1.25
Round_Robin_Multiple_Runs_128times_2,234,32,13.68,13,14,5,25.75,60.10,539.55,1.25
