Algorithm,TotalCloudlets,Violations,ViolationPct,Tier1,Tier2,Tier3,AvgTardiness,MaxTardiness,PowerConsumption,TotalTimeTaken
Round Robin,252,73,28.97,21,49,3,33.89,111.15,700.00,0.25
Round Robin,252,74,29.37,22,49,3,33.61,111.15,688.09,0.10
Round Robin,252,75,29.76,24,48,3,31.86,111.15,668.29,0.05
Round Robin,252,78,30.95,24,51,3,32.31,111.29,653.60,0.04
Round Robin,252,79,31.35,25,51,3,32.49,110.84,637.38,0.05
Round Robin,252,84,33.33,28,53,3,31.62,111.23,619.95,0.04
Round Robin,252,87,34.52,31,53,3,31.27,110.97,592.83,0.06
Round Robin,252,87,34.52,27,57,3,32.22,110.97,579.69,0.05
Round Robin,252,89,35.32,27,59,3,32.66,110.87,558.19,0.03
Round Robin,252,93,36.90,26,64,3,32.45,111.15,535.86,0.03
Round Robin,252,100,39.68,26,71,3,35.36,110.84,513.85,0.03
Round Robin,252,101,40.08,26,71,4,36.04,111.23,495.58,0.03
Round Robin,252,105,41.67,26,73,6,36.60,111.27,476.29,0.03
Round Robin,252,114,45.24,22,83,9,40.28,111.14,461.17,0.02
Round Robin,252,116,46.03,25,82,9,41.42,116.20,454.90,0.03
Round Robin,252,122,48.41,23,87,12,42.79,116.09,442.40,0.03
Round Robin,252,123,48.81,26,84,13,44.07,142.68,428.40,0.02
Round Robin,252,128,50.79,24,88,16,47.54,143.10,403.65,0.02
Round Robin,252,128,50.79,25,82,21,50.39,178.00,388.82,0.02
Round Robin,252,128,50.79,20,78,30,60.23,289.80,370.68,0.02
Round Robin,252,131,51.98,19,78,34,64.85,289.53,349.40,0.02
Round Robin,252,134,53.17,16,72,46,71.87,289.60,332.42,0.02
Round Robin,252,136,53.97,14,74,48,73.42,289.72,328.59,0.02
Round Robin,252,148,58.73,3,82,63,84.74,289.87,323.89,0.02
Round Robin,252,150,59.52,3,87,60,81.04,289.65,315.81,0.02
Round Robin,252,155,61.51,4,77,74,89.79,289.48,299.62,0.02
FCFS,252,38,15.08,33,5,0,9.11,19.72,700.00,0.04
FCFS,252,34,13.49,33,1,0,8.48,18.91,685.77,0.03
FCFS,252,35,13.89,34,1,0,8.98,18.88,674.45,0.03
FCFS,252,37,14.68,36,1,0,10.14,20.22,648.21,0.03
FCFS,252,46,18.25,33,13,0,13.86,28.28,625.66,0.02
FCFS,252,49,19.44,33,16,0,14.31,28.17,603.09,0.02
FCFS,252,53,21.03,38,15,0,14.64,31.37,581.68,0.03
FCFS,252,56,22.22,38,18,0,15.05,28.74,559.72,0.02
FCFS,252,57,22.62,36,21,0,16.58,36.24,553.22,0.03
FCFS,252,73,28.97,43,30,0,16.39,35.72,534.22,0.02
FCFS,252,80,31.75,45,35,0,17.74,39.05,516.32,0.02
FCFS,252,87,34.52,56,31,0,16.65,43.14,502.06,0.02
FCFS,252,88,34.92,47,41,0,21.05,46.45,475.55,0.02
FCFS,252,102,40.48,46,56,0,25.56,57.03,460.36,0.02
FCFS,252,104,41.27,46,58,0,26.24,58.05,456.25,0.02
FCFS,252,109,43.25,45,64,0,26.53,70.16,452.58,0.01
FCFS,252,114,45.24,48,66,0,26.35,69.45,439.71,0.02
FCFS,252,117,46.43,35,82,0,29.12,71.44,424.15,0.01
FCFS,252,123,48.81,28,95,0,34.43,94.72,404.20,0.01
FCFS,252,123,48.81,23,100,0,39.00,110.90,381.61,0.01
FCFS,252,127,50.40,22,105,0,43.49,126.98,371.38,0.01
FCFS,252,137,54.37,25,112,0,43.54,121.99,361.76,0.01
FCFS,252,132,52.38,25,107,0,48.01,120.13,345.74,0.01
FCFS,252,138,54.76,31,106,1,53.05,159.33,327.85,0.02
FCFS,252,141,55.95,27,113,1,54.49,168.09,318.58,0.02
FCFS,252,146,57.94,19,118,9,62.79,171.02,308.79,0.01
FCFS,252,151,59.92,8,126,17,70.26,212.54,301.19,0.02
FCFS,252,161,63.89,15,115,31,75.15,224.69,295.32,0.02
GA,252,23,9.13,7,10,6,51.95,127.82,700.00,0.13
GA,252,11,4.37,2,3,6,113.49,235.23,688.95,0.03
GA,252,19,7.54,5,10,4,54.88,138.88,679.97,0.03
GA,252,20,7.94,5,11,4,53.09,119.26,662.83,0.03
GA,252,26,10.32,10,16,0,33.10,79.25,634.33,0.03
GA,252,21,8.33,8,9,4,60.66,171.69,631.85,0.03
GA,252,18,7.14,4,11,3,45.41,96.89,615.89,0.03
GA,252,32,12.70,10,18,4,42.94,110.92,598.95,0.03
GA,252,37,14.68,16,18,3,35.92,150.47,588.64,0.03
GA,252,43,17.06,15,24,4,44.96,137.32,571.28,0.02
GA,252,33,13.10,13,16,4,39.57,120.81,555.08,0.03
GA,252,39,15.48,16,16,7,46.18,138.70,533.91,0.03
GA,252,33,13.10,11,16,6,57.20,159.01,523.51,0.03
GA,252,41,16.27,12,24,5,45.17,124.70,516.72,0.03
GA,252,49,19.44,20,25,4,32.56,96.23,506.36,0.03
GA,252,50,19.84,14,26,10,49.61,121.33,481.97,0.03
GA,252,64,25.40,16,34,14,58.79,165.52,488.17,0.03
GA,252,72,28.57,13,52,7,57.40,159.52,478.70,0.03
GA,252,67,26.59,27,30,10,45.08,163.26,471.20,0.03
GA,252,89,35.32,32,38,19,50.16,165.92,465.58,0.03
GA,252,75,29.76,15,40,20,65.92,175.31,450.29,0.03
